code,item,cost,type
08RS-081,Heightening RR shock (with spring) 加高改装后右减震器(带弹簧),350,shock 减震
08RS-082,Fix RL shock bouncing rubber更换后左减震缓冲胶,350,shock 减震
08RS-083,Fix RR shock bouncing rubber更换后右减震缓冲胶,350,shock 减震
08RS-084,Replace the RL leaf spring 更换左后减震钢板,200,spring 钢板
08RS-085,Replace the RR leaf spring 更换右后减震钢板,200,spring 钢板
08RS-086,Remove the RL steel to welding and fix it back 左后钢板焊接及拆装,200,spring 钢板
08RS-087,Remove the RR steel to welding and fix it back 左后钢板焊接及拆装,200,spring 钢板
08RS-088,Service the rear left leaf spring bush 保养后桥减震钢板胶套（左侧）,250,spring 钢板
08RS-089,Service the rear right leaf spring bush 保养后桥减震钢板胶套（右侧）,250,spring 钢板
08RS-090,Replace the rear left leaf spring bush 更换后桥减震钢板胶套（左侧）,250,
08RS-091,Replace the rear right leaf spring bush 更换后桥减震钢板胶套（右侧）,200,
08RS-092,Replace exhaust mounting 更换排气管吊耳,250,exhuast monut排气管
08RS-093,Deal with the noise of exust pipe 处理排气管异响,200,
09DS-001,Replace the center bearing 更换传动轴过桥胶套,350,drive shaft 传动轴
09DS-002,Replace the front universal joint 更换传动轴前十字结,250,drive shaft 传动轴
09DS-003,Replace the middle universal joint 更换传动轴中十字结,250,drive shaft 传动轴
09DS-004,Replace the rear universal joint 更换传动轴后十字结,250,drive shaft 传动轴
09DS-005,Remove the drive shaft damper 拆除传动轴连接器,200,drive shaft 传动轴
09DS-006,Replace the drive shaft damper 更换传动轴连接器,300,drive shaft 传动轴
09DS-007,Repair the drive shaft 维修传动轴,400,drive shaft 传动轴
09DS-008,Replace the front drive shaft 更换前驱传动轴,350,drive shaft 传动轴
09DS-009,Replace the rear drive shaft 更换后驱传动轴,350,drive shaft 传动轴
09DS-010,Replace the harb seal 更换传动轴油封,350,drive shaft 传动轴
09DS-011,Replace the drive shaft flange assembly 更换传动轴法兰盘组件（带手刹）,350,drive shaft 传动轴
09DS-012,Machine the driving harb 加工轴套,350,drive shaft 传动轴
09DS-013,Welding the driving harb 焊接传动轴法兰盘,350,drive shaft 传动轴
09DS-014,Replace the fly wheel 更换飞轮盘,1500,fly wheel飞轮盘
09DS-015,Top up the transfer case oil 补充分动箱油,0,transfer case分动箱
09DS-016,Replace the transfer case oil 更换分动箱油,150,transfer case分动箱
09DS-017,Replace the transfer case seal (left)更换分动箱油封(左),300,transfer case分动箱
09DS-018,Replace the transfer case seal (right)更换分动箱油封(右),300,transfer case分动箱
09DS-019,Replace the transfer case draining plug washer 更换分动箱放油螺丝垫片,,transfer case分动箱
09DS-020,Replace FL CV joint 更换前左半轴外球笼,300,CV joint 外球笼
09DS-021,Replace FR CV joint 更换前右半轴外球笼,300,CV joint 外球笼
09DS-022,Clean FL CV joint and replace new grease 清洁前左半轴外球笼并更换黄油,300,CV joint 外球笼
09DS-023,Clean FR CV joint and replace new grease 清洁前右半轴外球笼并更换黄油,300,CV joint 外球笼
09DS-024,Replace RL CV joint 更换后左半轴外球笼,300,CV joint 外球笼
09DS-025,Replace RR CV joint 更换后右半轴外球笼,300,CV joint 外球笼
09DS-026,Clean RL CV joint and replace new grease 清洁后左半轴外球笼并更换黄油,300,CV joint 外球笼
09DS-027,Clean RR CV joint and replace new grease 清洁后右半轴外球笼并更换黄油,300,CV joint 外球笼
09DS-028,Replace FL CV spider bearing 更换前左半轴三角轴承,220,spider bearing 三角轴承
09DS-029,Replace FR CV spider bearing 更换前右半轴三角轴承,220,spider bearing 三角轴承
09DS-030,Replace RL CV spider bearing 更换后左半轴三角轴承,220,spider bearing 三角轴承
09DS-031,Replace RR CV spider bearing 更换后右半轴三角轴承,220,spider bearing 三角轴承
09DS-032,Replace FL couping complete 更换前左半轴内球笼总成,,
09DS-033,Replace FR couping complete 更换前右半轴内球笼总成,,
09DS-034,Replace RL couping complete 更换后左半轴内球笼总成,,
09DS-035,Replace RR couping complete 更换后右半轴内球笼总成,,
09DS-036,Check the front differ leakage 检修前桥漏油,200, front differ 前差速器
09DS-037,Replace front differ complete 更换前差速器总成,1500, front differ 前差速器
09DS-038,Top up front differential oil 补充前差速器油,-, front differ 前差速器
09DS-039,Replace front differential oil 更换前差速器油,200, front differ 前差速器
09DS-040,Replace front seal of front differential 更换前差速器前油封,200, front differ 前差速器
09DS-041,Replace rear seal of front differential 更换前差速器后油封,200, front differ 前差速器
09DS-042,Check the rear differ leakage 检修后桥漏油,200,rear differ 后差速器
09DS-043,Top up rear differential oil 补充后差速器油,-,rear differ 后差速器
09DS-044,Replace rear differential oil 更换后差速器油,200,rear differ 后差速器
09DS-045,Replace rear differ bolt 更换后差速器加油螺丝,200,rear differ 后差速器
09DS-046,Replace front seal of rear differential 更换后差速器前油封,200,rear differ 后差速器
09DS-047,Replace rear seal of rear differential 更换后差速器后油封,200,rear differ 后差速器
09DS-048,Remove the rear differ complete and fix it back 拆装后差速器,,rear differ 后差速器
09DS-049,Repair rear differ complete 维修后差速器,,rear differ 后差速器
09DS-050,Repair the rear differential electronic drive module 维修后差速器电子驱动模块,,rear differ 后差速器
09DS-051,Replace rear differ complete 更换后差速器总成,1500,rear differ 后差速器
09DS-052,Replace FL CV couping rubber boot 更换前左半轴内防尘罩,220,rubber boot 防尘罩
09DS-053,Replace FR CV couping rubber boot 更换前右半轴内防尘罩,220,rubber boot 防尘罩
09DS-054,Replace FL CV rubber boot 更换前左半轴外防尘罩,220,rubber boot 防尘罩
09DS-055,Replace FR CV rubber boot 更换前右半轴外防尘罩,220,rubber boot 防尘罩
09DS-056,Replace RL CV couping rubber boot更换后左半轴内防尘罩,220,rubber boot 防尘罩
09DS-057,Replace RR CV couping rubber boot更换后右半轴内防尘罩,220,rubber boot 防尘罩
09DS-058,Replace RL CV rubber boot 更换后左半轴外防尘罩,220,rubber boot 防尘罩
09DS-059,Replace RR CV rubber boot 更换后右半轴外防尘罩,220,rubber boot 防尘罩
09DS-060,Replace the left drive shaft rubber boot 更换左侧传动轴防尘套,220,rubber boot 防尘罩
09DS-061,Replace the right drive shaft rubber boot 更换右侧传动轴防尘套,220,rubber boot 防尘罩
09DS-062,Replace FL shaft complete 更换前左半轴总成,300,shaft 半轴
09DS-063,Replace FR shaft complete 更换前右半轴总成,300,shaft 半轴
09DS-064,Replace RL shaft complete 更换后左半轴总成,300,shaft 半轴
09DS-065,Replace RR shaft complete 更换后右半轴总成,300,shaft 半轴
09DS-066,Replace FL shaft seal更换前左半轴油封,,
09DS-067,Replace FR shaft seal 更换前右半轴油封,,
09DS-068,Replace RL shaft seal 更换后左半轴油封,,
09DS-069,Replace RR shaft seal 更换后右半轴油封,,
09DS-070,Clean the four-wheel drive control box 清洗四驱控制盒,300,control box 控制盒
09DS-071,Replace the four-wheel drive control box 更换四驱控制盒,300,control box 控制盒
09DS-072,Check the four-wheel drive control module 检修四驱控制模块,300,control box 控制盒
09DS-073,Install four-wheel drive control switch 加装四驱控制开关,300,control box 控制盒
09DS-074,Unlock the 4WD 解锁四驱分动箱,,
10PS-001,Top up power steering fluid 补充方向助力油,-,steering fluid助力油
10PS-002,Replace power steering fluid 更换方向助力油,100,steering fluid助力油
10PS-003,Repair FL rack ends 维修前左方向机内拉杆,180, rack ends内拉杆
10PS-004,Repair FR rack ends 维修前右方向机内拉杆,180, rack ends内拉杆
10PS-005,Replace FL rack ends 更换前左方向机内拉杆,150, rack ends内拉杆
10PS-006,Replace FR rack ends 更换前右方向机内拉杆,150, rack ends内拉杆
10PS-007,Repair FL tie rod ends 维修前左方向机外拉杆,150,tie rod ends外拉杆
10PS-008,Repair FR tie rod ends 维修前右方向机外拉杆,150,tie rod ends外拉杆
10PS-009,Replace FL tie rod ends 更换前左方向机外拉杆,120,tie rod ends外拉杆
10PS-010,Replace FR tie rod ends 更换前右方向机外拉杆,120,tie rod ends外拉杆
10PS-011,Remove the draging link to repair and fix it back 拆装方向机拉杆,350,draging link 外拉杆
10PS-012,Repair the draging link 维修方向机拉杆,350,draging link 外拉杆
10PS-013,Replace the draging link 更换方向机拉杆,350,draging link 外拉杆
10PS-014,Replace the FL kingpin 更换左前转向节中心销,300,king pin 中心销
10PS-015,Replace the FR kingpin 更换右前转向节中心销,300,king pin 中心销
10PS-016,Replace the FL kingpin bush 更换左前转向节中心销胶套,350,king pin 中心销
10PS-017,Replace the FR kingpin bush 更换右前转向节中心销胶套,350,king pin 中心销
10PS-018,Replace the FL kingpin bearing 更换左前转向节中心销轴承,35,king pin 中心销
10PS-019,Replace the FR kingpin bearing 更换右前转向节中心销轴承,350,king pin 中心销
10PS-020,Replace the FL kingpin bolt 更换左前转向节中心销螺栓,150,king pin 中心销
10PS-021,Replace the FR kingpin bolt 更换右前转向节中心销螺栓,150,king pin 中心销
10PS-022,Replace power steering belt 更换方向机皮带,200,steering belt皮带
10PS-023,Remove the power steering pump anf fit back 拆装检测方向机助力泵,350,steering pump助力泵
10PS-024,Repair power steering pump 维修方向助力泵,400,steering pump助力泵
10PS-025,Replace power steering pump 更换方向助力泵,400,steering pump助力泵
10PS-026,Replace power steering pump seal 更换方向助力泵油封,,steering pump助力泵
10PS-027,Clean the steering fluid system & pipe 清洗方向机油路油管,,
10PS-028,Replace the steering pipe 更换方向机油管,,steering pump助力泵
10PS-029,Replace the steering seal 更换方向机油封,,
10PS-030,Replace universal joint of steering 更换转向柱十字结,400,universal joint转向柱
10PS-031,Remove the power steering rack to check anf fit back 拆装检测方向机,850,steering rack方向机
10PS-032,Replace power steering rack complete 更换方向机总成,850,steering rack方向机
10PS-033,Replace power steering rack sensor 更换方向机传感器,400,steering rack方向机
10PS-034,Reset the Power steering system 匹配转向系统,200,steering rack方向机
10PS-035,Replace the power steering rack bushes 更换方向机胶套,200,steering rack方向机
10PS-036,Adjust the power steering rack 调校方向盘,400,steering rack方向机
10PS-037,Repair power steering fluid tank 维修方向助力油壶,,steering tank助力油壶
10PS-038,Replace FL rack ends rubber boot 更换前左方向机防尘罩,150,rubber boot 防尘罩
10PS-039,Replace power steering fluid tank 更换方向助力油壶,,steering tank助力油壶
10PS-040,Replace FR rack ends rubber boot 更换前右方向机防尘罩,150,rubber boot 防尘罩
10PS-041,Wheel alignment 四轮定位,400,Wheel alignment四轮定位
10PS-042,Camber castor 调前束,300,Camber castor前束
10PS-043,Replace steering angle sensor 更换转向传感器,,
10PS-044,Repair the power steering box 维修转向机箱,,
10PS-045,Replace the power steering box housing 更换转向机箱外壳,,
11AC-001,Dismantle the dashboarb to overhaul A/C and fit it back 拆装仪表台,2000,leakage check 捡漏
11AC-002,Overhaul the leakage of the evaporator 蒸发箱捡漏,2000,leakage check 捡漏
11AC-003,Clean the evaporator without removing daskboard 免拆清洗蒸发箱,2000,evaporator蒸发箱
11AC-004,Repair the evaporator by welding 蒸发箱焊接维修,2000,evaporator蒸发箱
11AC-005,Remove dashboard to replace the evaporator 拆装仪表台更换蒸发箱,500,evaporator蒸发箱
11AC-006,Overhaul the leakage of air conditioning pipe 空调管道检漏,500,leakage check 捡漏
11AC-007,Replace the seals to stop leaking 换胶圈堵漏,-,stop leaking堵漏
11AC-008,Stop leaking of the A/C pipe 空调管道堵漏,-,stop leaking堵漏
11AC-009,Repair the A/C pipe 维修空调管,1500,pipe 空调管
11AC-010,Welding the A/C pipe 焊接空调管,1500,pipe 空调管
11AC-011,Replace the A/C pipe 更换空调管,200,pipe 空调管
11AC-012,Vacuum air conditioning pipe 空调管道打气/保压/抽真空,200,Vacuum保压
11AC-013,Refill Freon加注氟利昂,150,Freon加氟
11AC-014,Refill compressor oil加注冷冻油,150,compressor oil 加冷冻油
11AC-015,Replace the A/C belt 更换空调皮带,150,belt 皮带
11AC-016,Replace the A/C pressure sensor 更换空调压力传感器,150,sensor 传感器
11AC-017,Remove the compressor to check and fix it back 拆装检测压缩机,300,compressor 压缩机
11AC-018,Repair the compressor 维修压缩机,300,compressor 压缩机
11AC-019,Replace the compressor更换压缩机,350,compressor 压缩机
11AC-020,Replace the compressor bearing 更换压缩机轴承,350,compressor 压缩机
11AC-021,Detect air conditioning fan control module 检测空调风机调速模块,300,fan 风机
11AC-022,Install fan control switch 加装风机控制开关,300,fan 风机
11AC-023,Repair the A/C fan motor 维修空调风机,180,fan 风机
11AC-024,Replace the A/C fan motor 更换空调风机,180,fan 风机
11AC-025,Clean the condenser 清洗冷凝器,150,condenser 冷凝器
11AC-026,Repair the condenser by welding 冷凝器焊接维修,150,condenser 冷凝器
11AC-027,Replace the condenser 更换冷凝器,150,condenser 冷凝器
11AC-028,Air conditioning refrigeration duct cleaning 空调制冷风道清洗,150,duct 风道
11AC-029,Air conditioning refrigeration duct deodorization 空调制冷风道除味,200,duct 风道
11AC-030,Check the A/C noisy 检修空调异响,200,noisy 异响
11AC-031,Flush the A/C pipe 空调管道内部清洗,300,duct 风道
11AC-032,Replace A/C pressure relief valve 更换空调泄压阀,300,
11AC-033,Remove to clean the A/C fan 拆装清洗空调风扇,850,
11AC-034,Replace the A/C fan 更换空调风扇,850,
11AC-035,Replace the expansion valve 更换膨胀阀,650,
11AC-036,Replace the A/C pipes complete 更换空调管全套,650,
11AC-037,Replace the dry 更换干燥棒,500,
11AC-038,Replace the Air Conditioner Dryer 更换干燥棒,500,
11AC-039,Replace the A/C pump clutch electromagnetic coil更换空调泵离合电磁线圈,,
11AC-040,Replace the A/C pump thermistor switch更换空调泵热敏开关,,
11AC-041,Replace the A/C pump clutch更换空调泵离合器,,
12CM-001,"Oridinary car wash
(external foam cleaner + internal vacuum dust + pad cleaning)
常规清洗（外部泡沫清洗剂+内部吸尘+脚垫清洗）",50,cleaning 清洗
12CM-002,"In-depth cleaning
(Oridinary car wash + foam/leather cleaner/dashboard + air freshener)
深度清洗（常规清洗+内饰/皮革清洗剂/表板蜡+空气清新剂）",50,cleaning 清洗
12CM-003,"Fine cleaning
(deep cleaning + remove the seats to cleaning)
精细清洗（深度清洗+拆装座椅清洗）",150,cleaning 清洗
12CM-004,Clean the seats and interior 内饰及座椅清漆,150,cleaning 清洗
12CM-005,Ozone disinfection 臭氧消毒,300,disinfection 消毒
12CM-006,Atomization disinfection 雾化消毒,300,disinfection 消毒
12CM-007,Refurbishing and coating for FL headlamp 左前大灯翻新镀膜,200,Refurbishing 大灯翻新
12CM-008,Refurbishing and coating for FR headlamp 右前大灯翻新镀膜,200,Refurbishing 大灯翻新
12CM-009,Refurbishing and coating for FL fog lamp 左前雾灯翻新镀膜,150,Refurbishing 雾灯翻新
12CM-010,Refurbishing and coating for FR fog lamp 右前雾灯翻新镀膜,150,Refurbishing 雾灯翻新
12CM-011,Refurbishing and coating for RL tail lamp 左后尾灯翻新镀膜,150,Refurbishing 尾灯翻新
12CM-012,Refurbishing and coating for RR tail lamp 右后尾灯翻新镀膜,150,Refurbishing 尾灯翻新
12CM-013,Polishing for the whole vehicle 整车抛光,150+200,Polishing 抛光
12CM-014,Polishing for the front bumper 前保险杆抛光,300,Polishing 抛光
12CM-015,Polishing for the rear bumper 后保险杆抛光,150+200,Polishing 抛光
12CM-016,Polishing for the bonet 引擎盖抛光,300,Polishing 抛光
12CM-017,Polishing for the FL door 左前门抛光,180,Polishing 抛光
12CM-018,Polishing for the RL door 左后门抛光,180,Polishing 抛光
12CM-019,Polishing for the FL fender 左前叶子板抛光,180,Polishing 抛光
12CM-020,Polishing for the FL wheel arch 左前轮眉抛光,180,Polishing 抛光
12CM-021,Polishing for the RL fender 左后叶子板抛光,200,Polishing 抛光
12CM-022,Polishing for the RL wheel arch 左后轮眉抛光,200,Polishing 抛光
12CM-023,Polishing for the FR door 右前门抛光,200,Polishing 抛光
12CM-024,Polishing for the RR door 右后门抛光,200,Polishing 抛光
12CM-025,Polishing for the FR fender 右前叶子板抛光,1500,Polishing 抛光
12CM-026,Polishing for the FR wheel arch 右前轮眉抛光,1500,Polishing 抛光
12CM-027,Polishing for the RR fender 右后叶子板抛光,150,Polishing 抛光
12CM-028,Polishing for the RR wheel arch 右后轮眉抛光,150,Polishing 抛光
12CM-029,Polishing for the tail gate 后尾门抛光,151,Polishing 抛光
12CM-030,Polishing for the rear body 后车斗抛光,151,Polishing 抛光
12CM-031,Polishing for the paint parts 喷漆部分抛光,,
12CM-032,Film for the whole vehicle 整车贴膜,200,Film 贴膜
12CM-033,Film for the front windshield 前挡玻璃贴膜,200,Film 贴膜
12CM-034,Film for the rear windshield 后挡玻璃贴膜,150,Film 贴膜
12CM-035,Film for the windows 车窗玻璃贴膜,150,Film 贴膜
12CM-036,Sewing steering wheel cover 手工缝制方向盘,150,Interior 内饰
12CM-037,Sewing the FL seat cover 手工缝制左前座椅套,150,Interior 内饰
12CM-038,Sewing the FR seat cover 手工缝制右前座椅套,150,Interior 内饰
12CM-039,Cover for seats 包座椅,150,Interior 内饰
12CM-040,Cover for dashboard 包仪表台,150,Interior 内饰
12CM-041,Replace the surface leather for front right door panel 门板包皮,150,Interior 内饰
12CM-042,Repair car roof cloth 维修车顶棚布,150,Interior 内饰
12CM-043,Fix the ceiling board 固定顶棚,150,Interior 内饰
12CM-044,Waxing for the whole vehicle 整车打蜡,150,Waxing 打蜡
12CM-045,Fix the seats cover 安装座椅套,150,seats cover座椅套
12CM-046,Fix the boot cover 安装后尾箱套,150,
12CM-047,Fix the carpet 安装脚垫,150,
12CM-048,Seal the glaze for the whole vehicle全车封釉,150,
13TI-001,Replacement from front to rear 轮胎从前轮换位至后轮(Smaller than R17 17寸以下的普通胎),30,Replacement 换胎
13TI-001,Replacement from front to rear 轮胎从前轮换位至后轮(R17 to R19 17-19寸的普通胎),40,Replacement 换胎
13TI-001,Replacement from front to rear 轮胎从前轮换位至后轮(R17 to R19 AT 17-19寸的越野胎),40,Replacement 换胎
13TI-002,Replacement from rear to front 轮胎从后轮换位至前轮(Smaller than R17 17寸以下的普通胎),30,Replacement 换胎
13TI-002,Replacement from rear to front 轮胎从后轮换位至前轮(R17 to R19 17-19寸的普通胎),40,Replacement 换胎
13TI-002,Replacement from rear to front 轮胎从后轮换位至前轮(R17 to R19 AT 17-19寸的越野胎),40,Replacement 换胎
13TI-003,Replacement from left to right 轮胎从左轮换位至右轮(Smaller than R17 17寸以下的普通胎),30,Replacement 换胎
13TI-003,Replacement from left to right 轮胎从左轮换位至右轮(R17 to R19 17-19寸的普通胎),40,Replacement 换胎
13TI-003,Replacement from left to right 轮胎从左轮换位至右轮(R17 to R19 AT 17-19寸的越野胎),40,Replacement 换胎
13TI-004,Replacement from right to left 轮胎从右轮换位至左轮(Smaller than R17 17寸以下的普通胎),30,Replacement 换胎
13TI-004,Replacement from right to left 轮胎从右轮换位至左轮(R17 to R19 17-19寸的普通胎),40,Replacement 换胎
13TI-004,Replacement from right to left 轮胎从右轮换位至左轮(R17 to R19 AT 17-19寸的越野胎),40,Replacement 换胎
13TI-005,Replacement of spare tire 备胎换位(Smaller than R17 17寸以下的普通胎),30,Replacement 换胎
13TI-005,Replacement of spare tire 备胎换位(R17 to R19 17-19寸的普通胎),40,Replacement 换胎
13TI-005,Replacement of spare tire 备胎换位(R17 to R19 AT 17-19寸的越野胎),40,Replacement 换胎
13TI-006,Fitness of four new tire 四条新轮胎拆装(Smaller than R17 17寸以下的普通胎),30,Fitness 拆装
13TI-006,Fitness of four new tire 四条新轮胎拆装(R17 to R19 17-19寸的普通胎),40,Fitness 拆装
13TI-006,Fitness of four new tire 四条新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),40,Fitness 拆装
13TI-007,Fitness of Front Left new tire 左前新轮胎拆装(Smaller than R17 17寸以下的普通胎),30,Fitness 拆装
13TI-007,Fitness of Front Left new tire 左前新轮胎拆装(R17 to R19 17-19寸的普通胎),40,Fitness 拆装
13TI-007,Fitness of Front Left new tire 左前新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),40,Fitness 拆装
13TI-008,Fitness of Front Right new tire 右前新轮胎拆装(Smaller than R17 17寸以下的普通胎),30,Fitness 拆装
13TI-008,Fitness of Front Right new tire 右前新轮胎拆装(R17 to R19 17-19寸的普通胎),40,Fitness 拆装
13TI-008,Fitness of Front Right new tire 右前新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),40,Fitness 拆装
13TI-009,Fitness of Rear Left new tire 左后新轮胎拆装(Smaller than R17 17寸以下的普通胎),30,Fitness 拆装
13TI-009,Fitness of Rear Left new tire 左后新轮胎拆装(R17 to R19 17-19寸的普通胎),40,Fitness 拆装
13TI-009,Fitness of Rear Left new tire 左后新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),40,Fitness 拆装
13TI-010,Fitness of Rear Right new tire右后新轮胎拆装(Smaller than R17 17寸以下的普通胎),30,Fitness 拆装
13TI-010,Fitness of Rear Right new tire右后新轮胎拆装(R17 to R19 17-19寸的普通胎),40,Fitness 拆装
13TI-010,Fitness of Rear Right new tire右后新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),320,Fitness 拆装
13TI-011,Fitness of spare tire 备胎新轮胎拆装(Smaller than R17 17寸以下的普通胎),200,Fitness 拆装
13TI-011,Fitness of spare tire 备胎新轮胎拆装(R17 to R19 17-19寸的普通胎),240,Fitness 拆装
13TI-011,Fitness of spare tire 备胎新轮胎拆装(R17 to R19 AT 17-19寸的越野胎),320,Fitness 拆装
13TI-012,Mending of FL tire 左前轮补胎(Smaller than R17 17寸以下的普通胎),200,Mending 补胎
13TI-012,Mending of FL tire 左前轮补胎(R17 to R19 17-19寸的普通胎),240,Mending 补胎
13TI-012,Mending of FL tire 左前轮补胎(R17 to R19 AT 17-19寸的越野胎),80,Mending 补胎
13TI-013,Mending of FR tire 右前轮补胎(Smaller than R17 17寸以下的普通胎),50,Mending 补胎
13TI-013,Mending of FR tire 右前轮补胎(R17 to R19 17-19寸的普通胎),60,Mending 补胎
13TI-013,Mending of FR tire 右前轮补胎(R17 to R19 AT 17-19寸的越野胎),80,Mending 补胎
13TI-014,Mending of RL tire 左后轮补胎(Smaller than R17 17寸以下的普通胎),50,Mending 补胎
13TI-014,Mending of RL tire 左后轮补胎(R17 to R19 17-19寸的普通胎),60,Mending 补胎
13TI-014,Mending of RL tire 左后轮补胎(R17 to R19 AT 17-19寸的越野胎),80,Mending 补胎
13TI-015,Mending of RR tire 右后轮补胎(Smaller than R17 17寸以下的普通胎),50,Mending 补胎
13TI-015,Mending of RR tire 右后轮补胎(R17 to R19 17-19寸的普通胎),60,Mending 补胎
13TI-015,Mending of RR tire 右后轮补胎(R17 to R19 AT 17-19寸的越野胎),80,Mending 补胎
13TI-016,Mending of spare tire 备胎补胎(Smaller than R17 17寸以下的普通胎),50,Mending 补胎
13TI-016,Mending of spare tire 备胎补胎(R17 to R19 17-19寸的普通胎),60,Mending 补胎
13TI-016,Mending of spare tire 备胎补胎(R17 to R19 AT 17-19寸的越野胎),80,Mending 补胎
13TI-017,Balance of four new tire 四条新轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-017,Balance of four new tire 四条新轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-017,Balance of four new tire 四条新轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-018,Balance of Front Left tire 左前轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-018,Balance of Front Left tire 左前轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-018,Balance of Front Left tire 左前轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-019,Balance of Front Right tire 右前轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-019,Balance of Front Right tire 右前轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-019,Balance of Front Right tire 右前轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-020,Balance of  Rear Left tire 左后轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-020,Balance of  Rear Left tire 左后轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-020,Balance of  Rear Left tire 左后轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-021,Balance of Rear Right tire 右后轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-021,Balance of Rear Right tire 右后轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-021,Balance of Rear Right tire 右后轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-022,Balance of spare tire 备胎轮胎动平衡(Smaller than R17 17寸以下的普通胎),50,Balance 动平衡
13TI-022,Balance of spare tire 备胎轮胎动平衡(R17 to R19 17-19寸的普通胎),60,Balance 动平衡
13TI-022,Balance of spare tire 备胎轮胎动平衡(R17 to R19 AT 17-19寸的越野胎),80,Balance 动平衡
13TI-023,Repair the FL rim 修补左前轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-023,Repair the FL rim 修补左前轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-023,Repair the FL rim 修补左前轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-024,Repair the FR rim 修补右前轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-024,Repair the FR rim 修补右前轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-024,Repair the FR rim 修补右前轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-025,Repair the RL rim 修补左后轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-025,Repair the RL rim 修补左后轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-025,Repair the RL rim 修补左后轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-026,Repair the RR rim 修补右后轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-026,Repair the RR rim 修补右后轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-026,Repair the RR rim 修补右后轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-027,Replace the four new rims 更换四个新轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-027,Replace the four new rims 更换四个新轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-027,Replace the four new rims 更换四个新轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-028,Replace the FL rim 更换左前轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-028,Replace the FL rim 更换左前轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-028,Replace the FL rim 更换左前轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-029,Replace the FR rim 更换右前轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-029,Replace the FR rim 更换右前轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-029,Replace the FR rim 更换右前轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-030,Replace the RL rim 更换左后轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-030,Replace the RL rim 更换左后轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
13TI-030,Replace the RL rim 更换左后轮毂(R17 to R19 AT 17-19寸的越野胎),80,Rim 轮毂
13TI-031,Replace the RR rim 更换右后轮毂(Smaller than R17 17寸以下的普通胎),60,Rim 轮毂
13TI-031,Replace the RR rim 更换右后轮毂(R17 to R19 17-19寸的普通胎),70,Rim 轮毂
